"id","academic_year_id/id","amenities_ids","class_id/id","display","faculty_id/id","create_uid/id","create_date","division_id/id","write_uid/id","write_date","actual_strength","class_room/id","section_id/id"
"__export__.education_class_division_103_ade35dd3","__export__.education_academic_year_4_bba79d68","","__export__.education_class_13_b15b48c7","Neptune","","base.user_root","2019-02-12 08:51:35","education_core.division_data1","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_104_47c795a7","__export__.education_academic_year_4_bba79d68","","__export__.education_class_13_b15b48c7","Pluto","","base.user_root","2019-02-12 08:51:35","education_core.division_data1","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_105_a9ec4090","__export__.education_academic_year_4_bba79d68","","__export__.education_class_13_b15b48c7","Nova","","base.user_root","2019-02-12 08:51:35","education_core.division_data2","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section3"
"__export__.education_class_division_106_b280378a","__export__.education_academic_year_4_bba79d68","","__export__.education_class_13_b15b48c7","Jupiter","","base.user_root","2019-02-12 08:51:35","education_core.division_data3","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section5"
"__export__.education_class_division_79_27a8e097","__export__.education_academic_year_1_19e0b085","","__export__.education_class_9_b36d5076","Positron","","base.user_root","2019-02-12 08:59:35","education_core.division_data1","base.user_root","2019-02-12 08:59:35","60","","education_core.class_section1"
"__export__.education_class_division_81_9c6ad56f","__export__.education_academic_year_1_19e0b085","","__export__.education_class_9_b36d5076","Proton","","base.user_root","2019-02-12 09:00:30","education_core.division_data1","base.user_root","2019-02-12 09:00:30","60","","education_core.class_section2"
"__export__.education_class_division_82_1bffa668","__export__.education_academic_year_1_19e0b085","","__export__.education_class_9_b36d5076","Neutron","","base.user_root","2019-02-12 09:01:11","education_core.division_data2","base.user_root","2019-02-12 09:01:11","60","","education_core.class_section3"
"__export__.education_class_division_83_39a04179","__export__.education_academic_year_1_19e0b085","","__export__.education_class_9_b36d5076","Xenon","","base.user_root","2019-02-12 09:01:51","education_core.division_data3","base.user_root","2019-02-12 09:01:51","60","","education_core.class_section5"
"__export__.education_class_division_84_f5bbce4b","__export__.education_academic_year_1_19e0b085","","__export__.education_class_10_d6bd3867","PSI","","base.user_root","2019-02-12 09:03:02","education_core.division_data1","base.user_root","2019-02-12 09:03:02","60","","education_core.class_section1"
"__export__.education_class_division_85_290c3e17","__export__.education_academic_year_1_19e0b085","","__export__.education_class_10_d6bd3867","Sigma","","base.user_root","2019-02-12 09:03:40","education_core.division_data1","base.user_root","2019-02-12 09:03:40","60","","education_core.class_section2"
"__export__.education_class_division_86_2df617de","__export__.education_academic_year_1_19e0b085","","__export__.education_class_10_d6bd3867","Omega","","base.user_root","2019-02-12 09:04:33","education_core.division_data2","base.user_root","2019-02-12 09:04:33","60","","education_core.class_section3"
"__export__.education_class_division_87_26628d1b","__export__.education_academic_year_1_19e0b085","","__export__.education_class_10_d6bd3867","Radon","","base.user_root","2019-02-12 09:05:16","education_core.division_data3","base.user_root","2019-02-12 09:05:16","60","","education_core.class_section5"
"__export__.education_class_division_88_e1e41ab1","__export__.education_academic_year_1_19e0b085","","__export__.education_class_11_1f003666","PSI","","base.user_root","2019-02-12 09:06:53","education_core.division_data1","base.user_root","2019-02-12 09:06:53","60","","education_core.class_section1"
"__export__.education_class_division_89_d8611b0d","__export__.education_academic_year_1_19e0b085","","__export__.education_class_11_1f003666","Sigma","","base.user_root","2019-02-12 09:07:31","education_core.division_data1","base.user_root","2019-02-12 09:07:31","60","","education_core.class_section2"
"__export__.education_class_division_90_fb059f34","__export__.education_academic_year_1_19e0b085","","__export__.education_class_11_1f003666","Omega","","base.user_root","2019-02-12 09:08:11","education_core.division_data2","base.user_root","2019-02-12 09:08:11","60","","education_core.class_section3"
"__export__.education_class_division_91_39d50409","__export__.education_academic_year_1_19e0b085","","__export__.education_class_11_1f003666","Radon","","base.user_root","2019-02-12 09:08:45","education_core.division_data3","base.user_root","2019-02-12 09:08:45","60","","education_core.class_section5"
"__export__.education_class_division_92_d9d02203","__export__.education_academic_year_1_19e0b085","","__export__.education_class_12_b573f6ca","Alpha","","base.user_root","2019-02-12 09:10:10","education_core.division_data1","base.user_root","2019-02-12 09:10:10","60","","education_core.class_section1"
"__export__.education_class_division_93_13247a83","__export__.education_academic_year_1_19e0b085","","__export__.education_class_12_b573f6ca","Beta","","base.user_root","2019-02-12 09:10:40","education_core.division_data1","base.user_root","2019-02-12 09:10:40","60","","education_core.class_section2"
"__export__.education_class_division_94_647bd00d","__export__.education_academic_year_1_19e0b085","","__export__.education_class_12_b573f6ca","Beta","","base.user_root","2019-02-12 09:11:28","education_core.division_data2","base.user_root","2019-02-12 09:11:28","60","","education_core.class_section3"
"__export__.education_class_division_95_79479661","__export__.education_academic_year_1_19e0b085","","__export__.education_class_12_b573f6ca","Delta","","base.user_root","2019-02-12 09:11:52","education_core.division_data3","base.user_root","2019-02-12 09:13:24","60","","education_core.class_section5"
"__export__.education_class_division_97_6f633ee2","__export__.education_academic_year_1_19e0b085","","__export__.education_class_13_b15b48c7","Neptune","","base.user_root","2019-02-12 09:14:43","education_core.division_data1","base.user_root","2019-02-12 09:14:43","60","","education_core.class_section1"
"__export__.education_class_division_98_aec7e1eb","__export__.education_academic_year_1_19e0b085","","__export__.education_class_13_b15b48c7","Pluto","","base.user_root","2019-02-12 09:15:17","education_core.division_data1","base.user_root","2019-02-12 09:15:17","60","","education_core.class_section2"
"__export__.education_class_division_99_92088456","__export__.education_academic_year_1_19e0b085","","__export__.education_class_13_b15b48c7","Nova","","base.user_root","2019-02-12 09:15:46","education_core.division_data2","base.user_root","2019-02-12 09:15:46","60","","education_core.class_section3"
"__export__.education_class_division_100_f404d2ba","__export__.education_academic_year_1_19e0b085","","__export__.education_class_13_b15b48c7","Jupiter","","base.user_root","2019-02-12 09:16:29","education_core.division_data3","base.user_root","2019-02-12 09:16:29","60","",""
